From,NOX (ppb)
03/02/2023 05:45,61.8
03/02/2023 06:00,61.9
03/02/2023 06:15,59.9
03/02/2023 06:30,58.3
03/02/2023 06:45,57
03/02/2023 07:00,56.3
03/02/2023 07:15,54.2
03/02/2023 07:30,53.4
03/02/2023 07:45,53.6
03/02/2023 08:00,53.1
03/02/2023 08:15,52.6
03/02/2023 08:30,51.5
03/02/2023 08:45,50.7
03/02/2023 09:00,50.7
03/02/2023 09:15,50.5
03/02/2023 09:30,50.1
03/02/2023 09:45,49
03/02/2023 10:00,48.7
03/02/2023 10:15,48.4
03/02/2023 10:30,48.4
03/02/2023 10:45,48.5
03/02/2023 11:00,48.2
03/02/2023 11:15,47.5
03/02/2023 11:30,47.5
03/02/2023 11:45,46.675
03/02/2023 12:00,45.85
03/02/2023 12:15,45.025
03/02/2023 12:30,44.2
03/02/2023 12:45,46.6
03/02/2023 13:00,49
03/02/2023 13:15,49
03/02/2023 13:30,48.7
03/02/2023 13:45,47.9
03/02/2023 14:00,47.8
03/02/2023 14:15,47
03/02/2023 14:30,46.8
03/02/2023 14:45,46.9
03/02/2023 15:00,46.8
03/02/2023 15:15,47.4
03/02/2023 15:30,47.2
03/02/2023 15:45,47.7
03/02/2023 16:00,48.1
03/02/2023 16:15,48.9
03/02/2023 16:30,49.3
03/02/2023 16:45,49.3
03/02/2023 17:00,50.1
03/02/2023 17:15,50.6
03/02/2023 17:30,51.5
03/02/2023 17:45,52.7
03/02/2023 18:00,54.2
03/02/2023 18:15,55.5
03/02/2023 18:30,56.4
03/02/2023 18:45,57.8
03/02/2023 19:00,59.4
03/02/2023 19:15,59.8
03/02/2023 19:30,60.3
03/02/2023 19:45,61.5
03/02/2023 20:00,63.1
03/02/2023 20:15,64.2
03/02/2023 20:30,64.4
03/02/2023 20:45,65.5
03/02/2023 21:00,68
03/02/2023 21:15,68.6
03/02/2023 21:30,69.5
03/02/2023 21:45,71
03/02/2023 22:00,71.9
03/02/2023 22:15,71.4
03/02/2023 22:30,70.9
03/02/2023 22:45,70.3
03/02/2023 23:00,69.4
03/02/2023 23:15,67.9
03/02/2023 23:30,66.9
03/02/2023 23:45,66.7
04/02/2023 00:00,67.2
04/02/2023 00:15,66.4
04/02/2023 00:30,66.3
04/02/2023 00:45,64.8
04/02/2023 01:00,63.8
04/02/2023 01:15,61.8
04/02/2023 01:30,60.6
04/02/2023 01:45,60.3
04/02/2023 02:00,60.3
04/02/2023 02:15,59.1
04/02/2023 02:30,57.8
04/02/2023 02:45,56.3
04/02/2023 03:00,55.5
04/02/2023 03:15,54.7
04/02/2023 03:30,53.4
04/02/2023 03:45,52.5
04/02/2023 04:00,51.5
04/02/2023 04:15,51.1
04/02/2023 04:30,49.9
04/02/2023 04:45,48.6
04/02/2023 05:00,48.4
04/02/2023 05:15,47.6
04/02/2023 05:30,47.1
04/02/2023 05:45,48
04/02/2023 06:00,48.1
04/02/2023 06:15,47.5
04/02/2023 06:30,46.9
04/02/2023 06:45,48.5
04/02/2023 07:00,51.1
04/02/2023 07:15,52.4
04/02/2023 07:30,53.4
04/02/2023 07:45,54.6
04/02/2023 08:00,54.9
04/02/2023 08:15,54.2
04/02/2023 08:30,53.6
04/02/2023 08:45,53.1
04/02/2023 09:00,52.8
04/02/2023 09:15,52.2
04/02/2023 09:30,52.5
04/02/2023 09:45,53.3
04/02/2023 10:00,53.3
04/02/2023 10:15,53.1
04/02/2023 10:30,52.6
04/02/2023 10:45,51.4
04/02/2023 11:00,51.1
04/02/2023 11:15,50.4
04/02/2023 11:30,49.4
04/02/2023 11:45,48.925
04/02/2023 12:00,48.45
04/02/2023 12:15,47.975
04/02/2023 12:30,47.5
04/02/2023 12:45,46.7
04/02/2023 13:00,42.6
04/02/2023 13:15,38.5
04/02/2023 13:30,34.4
04/02/2023 13:45,35.6
04/02/2023 14:00,36.8
04/02/2023 14:15,36.5
04/02/2023 14:30,36.3
04/02/2023 14:45,36.1
04/02/2023 15:00,37.6
04/02/2023 15:15,37
04/02/2023 15:30,37
04/02/2023 15:45,37.3
04/02/2023 16:00,37.5
04/02/2023 16:15,38.1
04/02/2023 16:30,39.2
04/02/2023 16:45,40
04/02/2023 17:00,41.5
04/02/2023 17:15,42.7
04/02/2023 17:30,43.7
04/02/2023 17:45,45.8
04/02/2023 18:00,46.9
04/02/2023 18:15,48.2
