From,PM10 (µg/m3)
03/02/2023 13:15,97
03/02/2023 13:30,97
03/02/2023 13:45,147
03/02/2023 14:00,147
03/02/2023 14:15,147
03/02/2023 14:30,147
03/02/2023 14:45,108
03/02/2023 15:00,108
03/02/2023 15:15,108
03/02/2023 15:30,108
03/02/2023 15:45,128
03/02/2023 16:00,128
03/02/2023 16:15,128
03/02/2023 16:30,128
03/02/2023 16:45,121
03/02/2023 17:00,121
03/02/2023 17:15,121
03/02/2023 17:30,121
03/02/2023 17:45,184
03/02/2023 18:00,184
03/02/2023 18:15,184
03/02/2023 18:30,184
03/02/2023 18:45,184
03/02/2023 19:00,184
03/02/2023 19:15,184
03/02/2023 19:30,184
03/02/2023 19:45,266
03/02/2023 20:00,266
03/02/2023 20:15,266
03/02/2023 20:30,266
03/02/2023 20:45,276
03/02/2023 21:00,276
03/02/2023 21:15,276
03/02/2023 21:30,276
03/02/2023 21:45,222
03/02/2023 22:00,222
03/02/2023 22:15,222
03/02/2023 22:30,222
03/02/2023 22:45,248
03/02/2023 23:00,248
03/02/2023 23:15,248
03/02/2023 23:30,248
03/02/2023 23:45,180
04/02/2023 00:00,180
04/02/2023 00:15,180
04/02/2023 00:30,180
04/02/2023 00:45,216
04/02/2023 01:00,216
04/02/2023 01:15,216
04/02/2023 01:30,216
04/02/2023 01:45,211
04/02/2023 02:00,211
04/02/2023 02:15,211
04/02/2023 02:30,211
04/02/2023 02:45,211
04/02/2023 03:00,211
04/02/2023 03:15,211
04/02/2023 03:30,211
04/02/2023 03:45,124
04/02/2023 04:00,124
04/02/2023 04:15,124
04/02/2023 04:30,124
04/02/2023 04:45,130
04/02/2023 05:00,130
04/02/2023 05:15,130
04/02/2023 05:30,130
04/02/2023 05:45,101
04/02/2023 06:00,101
04/02/2023 06:15,101
04/02/2023 06:30,101
04/02/2023 06:45,167
04/02/2023 07:00,167
04/02/2023 07:15,167
04/02/2023 07:30,167
04/02/2023 07:45,329
04/02/2023 08:00,329
04/02/2023 08:15,329
04/02/2023 08:30,329
04/02/2023 08:45,522
04/02/2023 09:00,522
04/02/2023 09:15,522
04/02/2023 09:30,522
04/02/2023 09:45,208
04/02/2023 10:00,208
04/02/2023 10:15,208
04/02/2023 10:30,208
04/02/2023 10:45,208
04/02/2023 11:00,208
04/02/2023 11:15,208
04/02/2023 11:30,208
04/02/2023 11:45,113
04/02/2023 12:00,113
04/02/2023 12:15,113
04/02/2023 12:30,113
04/02/2023 12:45,144
04/02/2023 13:00,NA
04/02/2023 13:15,NA
04/02/2023 13:30,NA
04/02/2023 13:45,NA
04/02/2023 14:00,NA
04/02/2023 14:15,NA
04/02/2023 14:30,NA
04/02/2023 14:45,NA
04/02/2023 15:00,NA
04/02/2023 15:15,NA
04/02/2023 15:30,NA
04/02/2023 15:45,156
04/02/2023 16:00,156
04/02/2023 16:15,156
04/02/2023 16:30,156
04/02/2023 16:45,129
04/02/2023 17:00,129
04/02/2023 17:15,129
04/02/2023 17:30,129
04/02/2023 17:45,139
04/02/2023 18:00,139
04/02/2023 18:15,139
04/02/2023 18:30,139
04/02/2023 18:45,219
04/02/2023 19:00,219
04/02/2023 19:15,219
04/02/2023 19:30,219
04/02/2023 19:45,232
04/02/2023 20:00,232
04/02/2023 20:15,232
04/02/2023 20:30,232
04/02/2023 20:45,256
04/02/2023 21:00,256
04/02/2023 21:15,256
04/02/2023 21:30,256
04/02/2023 21:45,407
04/02/2023 22:00,407
04/02/2023 22:15,407
04/02/2023 22:30,407
04/02/2023 22:45,407
04/02/2023 23:00,407
04/02/2023 23:15,407
04/02/2023 23:30,407
04/02/2023 23:45,293
05/02/2023 00:00,293
05/02/2023 00:15,293
05/02/2023 00:30,293
05/02/2023 00:45,307
05/02/2023 01:00,307
05/02/2023 01:15,307
05/02/2023 01:30,307
05/02/2023 01:45,291
05/02/2023 02:00,291
05/02/2023 02:15,291
05/02/2023 02:30,291
05/02/2023 02:45,431
05/02/2023 03:00,431
05/02/2023 03:15,431
05/02/2023 03:30,431
05/02/2023 03:45,328
05/02/2023 04:00,328
05/02/2023 04:15,328
05/02/2023 04:30,328
05/02/2023 04:45,228
05/02/2023 05:00,228
05/02/2023 05:15,228
05/02/2023 05:30,228
05/02/2023 05:45,145
05/02/2023 06:00,145
05/02/2023 06:15,145
05/02/2023 06:30,145
05/02/2023 06:45,145
05/02/2023 07:00,145
05/02/2023 07:15,145
05/02/2023 07:30,145
05/02/2023 07:45,335
05/02/2023 08:00,335
05/02/2023 08:15,335
05/02/2023 08:30,335
05/02/2023 08:45,282
05/02/2023 09:00,282
05/02/2023 09:15,282
05/02/2023 09:30,282
05/02/2023 09:45,166
05/02/2023 10:00,166
05/02/2023 10:15,166
05/02/2023 10:30,166
05/02/2023 10:45,161
05/02/2023 11:00,161
05/02/2023 11:15,161
05/02/2023 11:30,161
05/02/2023 11:45,111
05/02/2023 12:00,111
05/02/2023 12:15,111
05/02/2023 12:30,111
05/02/2023 12:45,123
05/02/2023 13:00,123
05/02/2023 13:15,123
05/02/2023 13:30,123
05/02/2023 13:45,149
05/02/2023 14:00,149
05/02/2023 14:15,149
05/02/2023 14:30,149
05/02/2023 14:45,149
05/02/2023 15:00,149
05/02/2023 15:15,149
05/02/2023 15:30,NA
05/02/2023 15:45,NA
05/02/2023 16:00,NA
05/02/2023 16:15,NA
05/02/2023 16:30,NA
05/02/2023 16:45,NA
05/02/2023 17:00,NA
05/02/2023 17:15,NA
05/02/2023 17:30,NA
05/02/2023 17:45,NA
05/02/2023 18:00,NA
05/02/2023 18:15,NA
05/02/2023 18:30,NA
05/02/2023 18:45,NA
05/02/2023 19:00,NA
05/02/2023 19:15,NA
05/02/2023 19:30,NA
05/02/2023 19:45,290
05/02/2023 20:00,290
05/02/2023 20:15,290
05/02/2023 20:30,290
05/02/2023 20:45,425
05/02/2023 21:00,425
05/02/2023 21:15,425
05/02/2023 21:30,425
05/02/2023 21:45,477
05/02/2023 22:00,477
05/02/2023 22:15,477
05/02/2023 22:30,477
05/02/2023 22:45,508
05/02/2023 23:00,508
05/02/2023 23:15,508
05/02/2023 23:30,508
05/02/2023 23:45,503
06/02/2023 00:00,503
06/02/2023 00:15,503
06/02/2023 00:30,503
06/02/2023 00:45,554
06/02/2023 01:00,554
06/02/2023 01:15,554
06/02/2023 01:30,554
06/02/2023 01:45,427
06/02/2023 02:00,427
06/02/2023 02:15,427
06/02/2023 02:30,427
06/02/2023 02:45,427
06/02/2023 03:00,427
06/02/2023 03:15,427
06/02/2023 03:30,427
06/02/2023 03:45,320
06/02/2023 04:00,320
06/02/2023 04:15,320
06/02/2023 04:30,320
06/02/2023 04:45,215
06/02/2023 05:00,215
06/02/2023 05:15,215
06/02/2023 05:30,215
06/02/2023 05:45,387
06/02/2023 06:00,387
06/02/2023 06:15,387
06/02/2023 06:30,387
06/02/2023 06:45,273
06/02/2023 07:00,273
06/02/2023 07:15,273
06/02/2023 07:30,273
06/02/2023 07:45,210
06/02/2023 08:00,210
06/02/2023 08:15,210
06/02/2023 08:30,210
06/02/2023 08:45,310
06/02/2023 09:00,310
06/02/2023 09:15,310
06/02/2023 09:30,310
06/02/2023 09:45,240
06/02/2023 10:00,240
06/02/2023 10:15,240
