From,CO (mg/m3)
03/02/2023 05:00,1.45
03/02/2023 05:15,1.59
03/02/2023 05:30,1.42
03/02/2023 05:45,1.28
03/02/2023 06:00,1.21
03/02/2023 06:15,1.16
03/02/2023 06:30,1.16
03/02/2023 06:45,1.19
03/02/2023 07:00,1.21
03/02/2023 07:15,1.24
03/02/2023 07:30,1.41
03/02/2023 07:45,1.4
03/02/2023 08:00,1.18
03/02/2023 08:15,1.19
03/02/2023 08:30,1.24
03/02/2023 08:45,1.13
03/02/2023 09:00,1.04
03/02/2023 09:15,0.98
03/02/2023 09:30,0.95
03/02/2023 09:45,1.246666667
03/02/2023 10:00,1.543333333
03/02/2023 10:15,1.84
03/02/2023 10:30,0.98
03/02/2023 10:45,0.96
03/02/2023 11:00,0.94
03/02/2023 11:15,0.93
03/02/2023 11:30,0.93
03/02/2023 11:45,0.94
03/02/2023 12:00,0.97
03/02/2023 12:15,1.02
03/02/2023 12:30,1.05
03/02/2023 12:45,1.06
03/02/2023 13:00,1.03
03/02/2023 13:15,0.98
03/02/2023 13:30,0.94
03/02/2023 13:45,0.94
03/02/2023 14:00,0.94
03/02/2023 14:15,0.94
03/02/2023 14:30,0.92
03/02/2023 14:45,0.9
03/02/2023 15:00,0.89
03/02/2023 15:15,0.89
03/02/2023 15:30,0.89
03/02/2023 15:45,0.88
03/02/2023 16:00,0.86
03/02/2023 16:15,0.92
03/02/2023 16:30,0.95
03/02/2023 16:45,0.97
03/02/2023 17:00,0.95
03/02/2023 17:15,0.96
03/02/2023 17:30,0.98
03/02/2023 17:45,1.01
03/02/2023 18:00,1.1
03/02/2023 18:15,1.31
03/02/2023 18:30,1.28
03/02/2023 18:45,1.33
03/02/2023 19:00,1.33
03/02/2023 19:15,1.43
03/02/2023 19:30,1.55
03/02/2023 19:45,1.42
03/02/2023 20:00,1.34
03/02/2023 20:15,1.45
03/02/2023 20:30,1.67
03/02/2023 20:45,1.56
03/02/2023 21:00,1.43
03/02/2023 21:15,1.57
03/02/2023 21:30,1.45
03/02/2023 21:45,1.69
03/02/2023 22:00,1.49
03/02/2023 22:15,1.4
03/02/2023 22:30,1.42
03/02/2023 22:45,1.42
03/02/2023 23:00,1.58
03/02/2023 23:15,1.67
03/02/2023 23:30,1.74
03/02/2023 23:45,1.69
04/02/2023 00:00,1.64
04/02/2023 00:15,1.59
04/02/2023 00:30,1.6
04/02/2023 00:45,1.63
04/02/2023 01:00,1.5
04/02/2023 01:15,1.4
04/02/2023 01:30,1.42
04/02/2023 01:45,1.37
04/02/2023 02:00,1.32
04/02/2023 02:15,1.25
04/02/2023 02:30,1.19
04/02/2023 02:45,1.2
04/02/2023 03:00,1.25
04/02/2023 03:15,1.27
04/02/2023 03:30,1.27
04/02/2023 03:45,1.25
04/02/2023 04:00,1.19
04/02/2023 04:15,1.16
04/02/2023 04:30,1.19
04/02/2023 04:45,1.21
04/02/2023 05:00,1.21
04/02/2023 05:15,1.33
04/02/2023 05:30,1.6
04/02/2023 05:45,1.48
04/02/2023 06:00,1.35
04/02/2023 06:15,1.44
04/02/2023 06:30,1.99
04/02/2023 06:45,1.74
04/02/2023 07:00,2.04
04/02/2023 07:15,2.34
04/02/2023 07:30,1.48
04/02/2023 07:45,1.02
04/02/2023 08:00,0.61
04/02/2023 08:15,0.63
04/02/2023 08:30,0.73
04/02/2023 08:45,0.69
04/02/2023 09:00,0.53
